,price,location,baths,bedrooms,Total_Area
6758,115.0,Kuri Road,3,3,2178.008
6759,115.0,Kuri Road,3,3,2178.008
6761,42.0,Burma Town,2,2,9528.785
6762,160.0,G-11,3,4,1089.004
6763,800.0,F-10,3,3,5445.0
6764,39.0,Ali Pur,2,3,816.7529999999999
6765,110.0,Kuri Road,3,3,2178.008
6766,85.0,Spring Valley,6,7,2178.008
6767,40.0,H-13,5,5,7623.027999999999
6768,65.0,Bani Gala,3,4,12251.294999999998
6769,125.0,G-11,1,2,11979.043999999998
6770,49.0,Ghauri Town,3,2,1361.255
6771,210.0,Islamabad - Murree Expressway,3,3,2178.008
6772,250.0,Bahria Town,6,4,2722.51
6773,450.0,DHA Defence,6,6,5445.0
6777,53.0,Ghauri Town,2,2,1089.004
7045,140.0,IJP Road,6,6,1361.255
7046,140.0,D-17,4,4,1633.506
7047,415.0,Bani Gala,6,6,10890.0
7048,31.0,Shahpur,0,3,1089.004
7258,142.0,G-13,5,3,1089.004
7259,85.0,Iqbal Town,4,6,1361.255
7260,150.0,G-13,4,4,1089.004
7261,150.0,G-13,4,4,1089.004
7262,90.0,H-13,0,0,1361.255
7263,150.0,D-13,4,4,4628.267
7264,65.0,Madina Town,6,5,1633.506
7265,182.0,G-15,5,5,2178.008
7266,285.0,G-11,4,4,1905.757
7267,170.0,H-13,6,6,3539.263
7269,200.0,G-8,4,4,15246.056
7270,175.0,Bhara kahu,10,11,5445.0
7271,395.0,DHA Defence,9,8,5445.0
7272,355.0,DHA Defence,6,5,5445.0
7273,34.0,Burma Town,0,0,8984.283
7274,1000.0,F-7,5,4,59895.0
7276,280.0,Emaar Canyon Views,5,5,81675.0
7277,2800.0,F-8,0,0,196020.0
7278,70.0,Wapda Town,4,4,2722.51
7333,250.0,Bhara kahu,5,5,81675.0
7334,300.0,Bahria Town,6,5,2994.7609999999995
7335,1800.0,G-6,6,6,114345.0
7336,2900.0,F-7,9,9,10890.0
7337,2200.0,F-8,9,7,98010.0
7338,1350.0,F-7,9,8,5445.0
7339,140.0,Bahria Town,3,3,1361.255
7340,2800.0,F-7,6,6,21780.0
7341,470.0,DHA Defence,8,6,5445.0
7343,50.0,Chatha Bakhtawar,2,2,9528.785
7345,250.0,Bahria Town,5,4,2722.51
7346,58.0,DHA Defence,3,3,2178.008
7347,290.0,G-13,6,5,3267.012
7348,130.0,FECHS,4,4,1905.757
7349,280.0,G-15,7,7,38659.642
7351,275.0,E-11,0,0,2722.51
7352,130.0,Bani Gala,4,4,3811.514
7545,200.0,I-10,0,0,2722.51
